{'loss': 0.0, 'grad_norm': 0.08205074816942215, 'learning_rate': 5.866669292902695e-06, 'num_tokens': 4156097.0, 'completions/mean_length': 611.25, 'completions/min_length': 507.0, 'completions/max_length': 739.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 611.25, 'completions/min_terminated_length': 507.0, 'completions/max_terminated_length': 739.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 45.9375, 'rewards/score_reward/std': 29.487815856933594, 'reward': 75.9375, 'reward_std': 29.487815856933594, 'frac_reward_zero_std': 0.0, 'completion_length': 611.25, 'kl': 0.03639592230319977, 'epoch': 1.06}
{'loss': 0.0001, 'grad_norm': 0.14870522916316986, 'learning_rate': 5.859180870795663e-06, 'num_tokens': 4162436.0, 'completions/mean_length': 449.375, 'completions/min_length': 242.0, 'completions/max_length': 615.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 449.375, 'completions/min_terminated_length': 242.0, 'completions/max_terminated_length': 615.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 61.796875, 'rewards/score_reward/std': 11.321388244628906, 'reward': 91.796875, 'reward_std': 11.321388244628906, 'frac_reward_zero_std': 0.0, 'completion_length': 449.375, 'kl': 0.0646124854683876, 'epoch': 1.06}
{'loss': 0.0, 'grad_norm': 0.12284539639949799, 'learning_rate': 5.85168412782665e-06, 'num_tokens': 4169156.0, 'completions/mean_length': 501.0, 'completions/min_length': 426.0, 'completions/max_length': 556.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 501.0, 'completions/min_terminated_length': 426.0, 'completions/max_terminated_length': 556.0, 'rewards/format_reward/mean': 8.75, 'rewards/format_reward/std': 3.535534143447876, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 48.522727966308594, 'rewards/score_reward/std': 30.029254913330078, 'reward': 77.27273559570312, 'reward_std': 32.448307037353516, 'frac_reward_zero_std': 0.0, 'completion_length': 501.0, 'kl': 0.04036698862910271, 'epoch': 1.06}
{'loss': 0.0, 'grad_norm': 0.11509720981121063, 'learning_rate': 5.844179097547725e-06, 'num_tokens': 4175467.0, 'completions/mean_length': 445.875, 'completions/min_length': 367.0, 'completions/max_length': 520.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 445.875, 'completions/min_terminated_length': 367.0, 'completions/max_terminated_length': 520.0, 'rewards/format_reward/mean': 8.75, 'rewards/format_reward/std': 3.535534143447876, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 53.42105484008789, 'rewards/score_reward/std': 11.312727928161621, 'reward': 82.17105102539062, 'reward_std': 12.072321891784668, 'frac_reward_zero_std': 0.0, 'completion_length': 445.875, 'kl': 0.04077649116516113, 'epoch': 1.06}
{'loss': 0.0, 'grad_norm': 0.1529087871313095, 'learning_rate': 5.836665813548046e-06, 'num_tokens': 4181807.0, 'completions/mean_length': 451.5, 'completions/min_length': 351.0, 'completions/max_length': 518.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 451.5, 'completions/min_terminated_length': 351.0, 'completions/max_terminated_length': 518.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 49.0, 'rewards/score_reward/std': 19.79899024963379, 'reward': 79.0, 'reward_std': 19.79899024963379, 'frac_reward_zero_std': 0.0, 'completion_length': 451.5, 'kl': 0.04118828475475311, 'epoch': 1.07}
{'loss': 0.0, 'grad_norm': 0.09401116520166397, 'learning_rate': 5.8291443094537135e-06, 'num_tokens': 4190812.0, 'completions/mean_length': 698.625, 'completions/min_length': 291.0, 'completions/max_length': 1008.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 698.625, 'completions/min_terminated_length': 291.0, 'completions/max_terminated_length': 1008.0, 'rewards/format_reward/mean': 8.75, 'rewards/format_reward/std': 3.535534143447876, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 32.900001525878906, 'rewards/score_reward/std': 29.848955154418945, 'reward': 61.650001525878906, 'reward_std': 31.582592010498047, 'frac_reward_zero_std': 0.0, 'completion_length': 698.625, 'kl': 0.029822029173374176, 'epoch': 1.07}
{'loss': 0.0, 'grad_norm': 0.07960453629493713, 'learning_rate': 5.821614618927613e-06, 'num_tokens': 4200856.0, 'completions/mean_length': 840.5, 'completions/min_length': 504.0, 'completions/max_length': 1154.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 840.5, 'completions/min_terminated_length': 504.0, 'completions/max_terminated_length': 1154.0, 'rewards/format_reward/mean': 8.75, 'rewards/format_reward/std': 3.535534143447876, 'rewards/sorted_events_reward/mean': 17.5, 'rewards/sorted_events_reward/std': 7.071068286895752, 'rewards/score_reward/mean': 3.4375, 'rewards/score_reward/std': 9.722718238830566, 'reward': 29.6875, 'reward_std': 13.392261505126953, 'frac_reward_zero_std': 0.0, 'completion_length': 840.5, 'kl': 0.03684908151626587, 'epoch': 1.07}
{'loss': 0.0, 'grad_norm': 0.09689405560493469, 'learning_rate': 5.8140767756692705e-06, 'num_tokens': 4209344.0, 'completions/mean_length': 666.0, 'completions/min_length': 516.0, 'completions/max_length': 838.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 666.0, 'completions/min_terminated_length': 516.0, 'completions/max_terminated_length': 838.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 28.802082061767578, 'rewards/score_reward/std': 31.080442428588867, 'reward': 58.802085876464844, 'reward_std': 31.0804443359375, 'frac_reward_zero_std': 0.0, 'completion_length': 666.0, 'kl': 0.04497969150543213, 'epoch': 1.07}
{'loss': 0.0, 'grad_norm': 0.09179524332284927, 'learning_rate': 5.806530813414704e-06, 'num_tokens': 4217604.0, 'completions/mean_length': 634.5, 'completions/min_length': 505.0, 'completions/max_length': 827.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 634.5, 'completions/min_terminated_length': 505.0, 'completions/max_terminated_length': 827.0, 'rewards/format_reward/mean': 8.75, 'rewards/format_reward/std': 3.535534143447876, 'rewards/sorted_events_reward/mean': 17.5, 'rewards/sorted_events_reward/std': 7.071068286895752, 'rewards/score_reward/mean': 57.54807662963867, 'rewards/score_reward/std': 24.714717864990234, 'reward': 83.79808044433594, 'reward_std': 34.879600524902344, 'frac_reward_zero_std': 0.0, 'completion_length': 634.5, 'kl': 0.03678875043988228, 'epoch': 1.07}
{'loss': 0.0, 'grad_norm': 0.09746337682008743, 'learning_rate': 5.798976765936263e-06, 'num_tokens': 4225167.0, 'completions/mean_length': 579.375, 'completions/min_length': 385.0, 'completions/max_length': 893.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 579.375, 'completions/min_terminated_length': 385.0, 'completions/max_terminated_length': 893.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 63.6363639831543, 'rewards/score_reward/std': 7.348094463348389, 'reward': 93.63636016845703, 'reward_std': 7.348097324371338, 'frac_reward_zero_std': 0.0, 'completion_length': 579.375, 'kl': 0.029582485556602478, 'epoch': 1.08}
{'loss': 0.0, 'grad_norm': 0.0759931206703186, 'learning_rate': 5.791414667042486e-06, 'num_tokens': 4234427.0, 'completions/mean_length': 740.5, 'completions/min_length': 535.0, 'completions/max_length': 846.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 740.5, 'completions/min_terminated_length': 535.0, 'completions/max_terminated_length': 846.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 50.68965530395508, 'rewards/score_reward/std': 15.374825477600098, 'reward': 80.68965148925781, 'reward_std': 15.374826431274414, 'frac_reward_zero_std': 0.0, 'completion_length': 740.5, 'kl': 0.032799381762742996, 'epoch': 1.08}
